FedEx Express U.S. Package Standard List Rates: FedEx First Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
148	$294.52 	$402.56 	$617.16 	$661.56 	$717.80 	$745.92 	$772.56 	$784.40 	$806.60 	$614.20 
149	$296.51 	$405.28 	$621.33 	$666.03 	$722.65 	$750.96 	$777.78 	$789.70 	$812.05 	$618.35 
150	$298.50 	$408.00 	$625.50 	$670.50 	$727.50 	$756.00 	$783.00 	$795.00 	$817.50 	$622.50 


Multiweight/Per-Pound Rates (multiply by total shipment weight)										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
100-499	$1.99 	$2.72 	$4.17 	$4.47 	$4.85 	$5.04 	$5.22 	$5.30 	$5.45 	$4.15 
500-999	$1.97 	$2.70 	$4.15 	$4.45 	$4.83 	$5.02 	$5.20 	$5.28 	$5.43 	$4.13 
1000-1999	$1.95 	$2.68 	$4.13 	$4.43 	$4.81 	$5.00 	$5.18 	$5.26 	$5.41 	$4.11 
2000+	$1.93 	$2.66 	$4.11 	$4.41 	$4.79 	$4.98 	$5.16 	$5.24 	$5.39 	$4.09 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
